tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,235,0.0785,52.044,0.1926,0.0000,0.000,0
500,asocial,2760,0.9215,55.939,0.0000,0.0000,0.000,0
1000,cultural,504,0.1683,50.184,0.4670,0.0000,0.000,0
1000,asocial,2491,0.8317,72.129,0.0000,0.0000,0.000,0
1500,cultural,779,0.2599,53.939,0.9775,0.0000,0.014,1
1500,asocial,2218,0.7401,94.083,0.0000,0.0000,0.000,0
2000,cultural,727,0.2736,66.073,1.2920,0.0000,0.100,1
2000,asocial,1930,0.7264,109.814,0.0000,0.0000,0.000,0
2500,cultural,714,0.3117,83.393,1.4841,0.0000,0.106,1
2500,asocial,1577,0.6883,127.114,0.0000,0.0000,0.000,0
