tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,103,0.0344,57.668,0.0898,0.4604,0.000,0
500,asocial,2889,0.9656,55.299,0.0000,0.4586,0.000,0
1000,cultural,99,0.0330,65.054,0.1154,0.4525,0.000,0
1000,asocial,2897,0.9670,68.176,0.0000,0.4556,0.000,0
1500,cultural,65,0.0217,98.635,0.1234,0.4417,0.000,0
1500,asocial,2935,0.9783,83.095,0.0000,0.4581,0.000,0
2000,cultural,192,0.0641,69.429,0.3967,0.4112,0.000,0
2000,asocial,2804,0.9359,100.141,0.0000,0.4526,0.000,0
2500,cultural,159,0.0531,79.965,0.5599,0.4003,0.000,0
2500,asocial,2838,0.9469,105.999,0.0000,0.5066,0.000,0
