tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,1940,0.9613,57.455,1.4932,0.4318,0.000,0
500,asocial,78,0.0387,57.297,0.0000,0.4340,0.000,0
1000,cultural,1214,0.9589,106.065,1.8401,0.4247,0.076,1
1000,asocial,52,0.0411,108.665,0.0000,0.4156,0.000,0
1500,cultural,877,0.9648,161.980,2.0798,0.4212,0.139,1
1500,asocial,32,0.0352,197.416,0.0000,0.4018,0.000,0
2000,cultural,698,0.9628,226.640,2.2400,0.4144,0.176,1
2000,asocial,27,0.0372,255.189,0.0000,0.3931,0.000,0
2500,cultural,534,0.9587,268.882,2.3651,0.3998,0.223,1
2500,asocial,23,0.0413,257.270,0.0000,0.3929,0.000,0
3000,cultural,288,0.9505,278.102,2.4710,0.3676,0.229,1
3000,asocial,15,0.0495,185.039,0.0000,0.3762,0.000,0
3500,cultural,136,0.9510,351.595,2.5151,0.3329,0.228,1
3500,asocial,7,0.0490,145.148,0.0000,0.3541,0.000,0
4000,cultural,72,0.9231,450.079,2.5210,0.3137,0.222,1
4000,asocial,6,0.0769,178.444,0.0000,0.2926,0.000,0
4500,cultural,57,0.8769,467.049,2.5324,0.2988,0.140,1
4500,asocial,8,0.1231,202.924,0.0000,0.3114,0.000,0
5000,cultural,41,0.8542,638.444,2.5518,0.2974,0.146,1
5000,asocial,7,0.1458,195.967,0.0000,0.2869,0.000,0
5500,cultural,19,0.7917,656.153,2.5665,0.2962,0.211,1
5500,asocial,5,0.2083,291.551,0.0000,0.2610,0.000,0
6000,cultural,12,0.7059,745.072,2.5658,0.3061,0.167,1
6000,asocial,5,0.2941,349.364,0.0000,0.2610,0.000,0
6500,cultural,8,0.6154,680.870,2.5762,0.3041,0.250,1
6500,asocial,5,0.3846,400.910,0.0000,0.2610,0.000,0
7000,cultural,7,0.7778,832.891,2.5763,0.2910,0.286,1
7000,asocial,2,0.2222,237.839,0.0000,0.2201,0.000,0
7500,cultural,5,0.8333,536.106,2.5767,0.3075,0.400,1
7500,asocial,1,0.1667,57.809,0.0000,0.1851,0.000,0
8000,cultural,4,1.0000,516.136,2.5767,0.3072,0.250,1
8000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
8500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
8500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
9000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
9000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
9500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
9500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
10000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
10000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
10500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
10500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
11000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
11000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
11500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
11500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
12000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
12000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
12500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
12500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
13000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
13000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
13500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
13500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
14000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
14000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
14500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
14500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
15000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
15000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
15500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
15500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
16000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
16000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
16500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
16500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
17000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
17000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
17500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
17500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
18000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
18000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
18500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
18500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
19000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
19000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
19500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
19500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
20000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
20000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
