tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,291,0.0973,46.408,0.2678,0.4539,0.000,0
500,asocial,2699,0.9027,53.652,0.0000,0.4574,0.000,0
1000,cultural,237,0.0854,59.225,0.2853,0.4412,0.000,0
1000,asocial,2537,0.9146,68.958,0.0000,0.4445,0.000,0
1500,cultural,161,0.0718,69.933,0.2890,0.4419,0.000,0
1500,asocial,2080,0.9282,87.179,0.0000,0.4296,0.000,0
2000,cultural,105,0.0579,89.277,0.3030,0.4346,0.000,0
2000,asocial,1710,0.9421,116.314,0.0000,0.4122,0.000,0
2500,cultural,73,0.0487,86.656,0.3071,0.4270,0.000,0
2500,asocial,1425,0.9513,146.476,0.0000,0.3923,0.000,0
3000,cultural,46,0.0397,102.845,0.3145,0.4004,0.000,0
3000,asocial,1113,0.9603,166.054,0.0000,0.3726,0.000,0
3500,cultural,21,0.0239,158.970,0.3151,0.3736,0.000,0
3500,asocial,859,0.9761,203.923,0.0000,0.3631,0.000,0
4000,cultural,8,0.0118,247.265,0.3151,0.3236,0.000,0
4000,asocial,669,0.9882,216.297,0.0000,0.3511,0.000,0
4500,cultural,7,0.0145,274.564,0.3151,0.3298,0.000,0
4500,asocial,477,0.9855,227.619,0.0000,0.3457,0.000,0
5000,cultural,4,0.0106,229.303,0.3151,0.3545,0.000,0
5000,asocial,375,0.9894,231.825,0.0000,0.3395,0.000,0
5500,cultural,2,0.0080,357.611,0.3151,0.2745,0.000,0
5500,asocial,247,0.9920,242.121,0.0000,0.3373,0.000,0
6000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
6000,asocial,153,1.0000,241.161,0.0000,0.3371,0.000,0
6500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
6500,asocial,82,1.0000,283.423,0.0000,0.3290,0.000,0
7000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
7000,asocial,62,1.0000,268.007,0.0000,0.3386,0.000,0
7500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
7500,asocial,44,1.0000,204.645,0.0000,0.3441,0.000,0
8000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
8000,asocial,29,1.0000,235.214,0.0000,0.3490,0.000,0
8500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
8500,asocial,34,1.0000,153.329,0.0000,0.3546,0.000,0
9000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
9000,asocial,24,1.0000,71.653,0.0000,0.3490,0.000,0
9500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
9500,asocial,23,1.0000,76.841,0.0000,0.3396,0.000,0
10000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
10000,asocial,20,1.0000,99.436,0.0000,0.3451,0.000,0
10500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
10500,asocial,19,1.0000,123.397,0.0000,0.3479,0.000,0
11000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
11000,asocial,13,1.0000,155.729,0.0000,0.3450,0.000,0
11500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
11500,asocial,19,1.0000,79.010,0.0000,0.3637,0.000,0
12000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
12000,asocial,18,1.0000,105.022,0.0000,0.3710,0.000,0
12500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
12500,asocial,12,1.0000,111.129,0.0000,0.3803,0.000,0
13000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
13000,asocial,11,1.0000,120.270,0.0000,0.3833,0.000,0
13500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
13500,asocial,9,1.0000,178.723,0.0000,0.4011,0.000,0
14000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
14000,asocial,9,1.0000,213.566,0.0000,0.4011,0.000,0
14500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
14500,asocial,7,1.0000,266.351,0.0000,0.4032,0.000,0
15000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
15000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
15500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
15500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
16000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
16000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
16500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
16500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
17000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
17000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
17500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
17500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
18000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
18000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
18500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
18500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
19000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
19000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
19500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
19500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
20000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
20000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
