tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,198,0.0662,41.194,0.2271,0.4661,0.000,0
500,asocial,2794,0.9338,54.923,0.0000,0.4382,0.000,0
1000,cultural,164,0.0547,54.726,0.2335,0.4603,0.000,0
1000,asocial,2835,0.9453,78.797,0.0000,0.4268,0.000,0
1500,cultural,132,0.0442,85.081,0.2335,0.4375,0.000,0
1500,asocial,2857,0.9558,104.569,0.0000,0.4094,0.000,0
2000,cultural,141,0.0472,112.807,0.2321,0.3975,0.028,1
2000,asocial,2848,0.9528,125.189,0.0000,0.3860,0.000,0
2500,cultural,156,0.0530,104.673,0.3233,0.3748,0.436,1
2500,asocial,2785,0.9470,133.925,0.0000,0.3672,0.000,0
3000,cultural,98,0.0405,133.195,0.3345,0.3420,0.806,1
3000,asocial,2321,0.9595,134.546,0.0000,0.3509,0.000,0
3500,cultural,80,0.0457,161.566,0.3403,0.3673,0.938,1
3500,asocial,1670,0.9543,141.723,0.0000,0.3476,0.000,0
4000,cultural,48,0.0411,149.673,0.3421,0.3642,0.979,1
4000,asocial,1120,0.9589,154.666,0.0000,0.3409,0.000,0
4500,cultural,23,0.0278,125.252,0.3441,0.3875,1.000,1
4500,asocial,803,0.9722,171.090,0.0000,0.3316,0.000,0
5000,cultural,13,0.0220,179.323,0.3443,0.3749,1.000,1
5000,asocial,577,0.9780,186.125,0.0000,0.3218,0.000,0
5500,cultural,8,0.0189,177.531,0.3453,0.3600,1.000,1
5500,asocial,415,0.9811,189.231,0.0000,0.3148,0.000,0
6000,cultural,5,0.0152,70.757,0.2116,0.4039,0.600,1
6000,asocial,325,0.9848,182.085,0.0000,0.3214,0.000,0
6500,cultural,5,0.0210,151.891,0.1493,0.3063,0.400,1
6500,asocial,233,0.9790,214.697,0.0000,0.3015,0.000,0
7000,cultural,4,0.0217,278.338,0.1774,0.3291,0.500,1
7000,asocial,180,0.9783,259.225,0.0000,0.2984,0.000,0
7500,cultural,3,0.0236,341.433,0.1204,0.3551,0.333,1
7500,asocial,124,0.9764,317.904,0.0000,0.3053,0.000,0
8000,cultural,2,0.0213,514.391,0.0063,0.3358,0.000,0
8000,asocial,92,0.9787,327.830,0.0000,0.3088,0.000,0
8500,cultural,2,0.0274,661.936,0.0063,0.3358,0.000,0
8500,asocial,71,0.9726,391.299,0.0000,0.3112,0.000,0
9000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
9000,asocial,42,1.0000,418.740,0.0000,0.2987,0.000,0
9500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
9500,asocial,47,1.0000,420.064,0.0000,0.3040,0.000,0
10000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
10000,asocial,45,1.0000,430.885,0.0000,0.3069,0.000,0
10500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
10500,asocial,73,1.0000,326.014,0.0000,0.3211,0.000,0
11000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
11000,asocial,63,1.0000,327.302,0.0000,0.3209,0.000,0
11500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
11500,asocial,83,1.0000,339.673,0.0000,0.3200,0.000,0
12000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
12000,asocial,105,1.0000,380.852,0.0000,0.3244,0.000,0
12500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
12500,asocial,166,1.0000,292.852,0.0000,0.3166,0.000,0
13000,cultural,1,0.0051,51.422,0.0022,0.2688,0.000,0
13000,asocial,197,0.9949,275.466,0.0000,0.3085,0.000,0
13500,cultural,1,0.0039,279.029,0.0022,0.2588,0.000,0
13500,asocial,255,0.9961,252.314,0.0000,0.3193,0.000,0
14000,cultural,6,0.0181,101.752,0.0481,0.2560,0.000,0
14000,asocial,326,0.9819,229.845,0.0000,0.3176,0.000,0
14500,cultural,12,0.0331,106.132,0.0728,0.2944,0.000,0
14500,asocial,351,0.9669,256.873,0.0000,0.3162,0.000,0
15000,cultural,8,0.0199,189.081,0.0790,0.3126,0.000,0
15000,asocial,394,0.9801,272.555,0.0000,0.3125,0.000,0
15500,cultural,22,0.0438,108.423,0.0719,0.3193,0.000,0
15500,asocial,480,0.9562,251.127,0.0000,0.3114,0.000,0
16000,cultural,47,0.0808,124.383,0.1105,0.3057,0.000,0
16000,asocial,535,0.9192,241.301,0.0000,0.3142,0.000,0
16500,cultural,63,0.0809,154.325,0.1587,0.3183,0.000,0
16500,asocial,716,0.9191,201.655,0.0000,0.3142,0.000,0
17000,cultural,90,0.0836,166.763,0.1973,0.3252,0.000,0
17000,asocial,987,0.9164,150.551,0.0000,0.3115,0.000,0
17500,cultural,128,0.0915,149.339,0.2198,0.3024,0.008,1
17500,asocial,1271,0.9085,124.414,0.0000,0.3085,0.000,0
18000,cultural,159,0.0956,102.215,0.3428,0.2950,0.019,1
18000,asocial,1504,0.9044,98.021,0.0000,0.3048,0.000,0
18500,cultural,151,0.0844,70.472,0.4106,0.2956,0.252,1
18500,asocial,1638,0.9156,76.220,0.0000,0.3004,0.000,0
19000,cultural,103,0.0639,66.412,0.4205,0.2933,0.786,1
19000,asocial,1508,0.9361,63.491,0.0000,0.3014,0.000,0
19500,cultural,84,0.0578,61.293,0.4338,0.2891,0.988,1
19500,asocial,1370,0.9422,57.929,0.0000,0.3005,0.000,0
20000,cultural,69,0.0528,68.876,0.4518,0.2905,0.957,1
20000,asocial,1238,0.9472,57.314,0.0000,0.3007,0.000,0
