tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,183,0.0611,61.956,0.1473,0.0000,0.000,0
500,asocial,2813,0.9389,54.952,0.0000,0.0000,0.000,0
1000,cultural,300,0.1001,61.982,0.3243,0.0000,0.000,0
1000,asocial,2698,0.8999,77.654,0.0000,0.0000,0.000,0
1500,cultural,506,0.1691,84.769,1.8636,0.0000,0.000,0
1500,asocial,2487,0.8309,109.169,0.0000,0.0000,0.000,0
2000,cultural,670,0.2236,86.621,2.5944,0.0000,0.000,0
2000,asocial,2326,0.7764,133.540,0.0000,0.0000,0.000,0
2500,cultural,729,0.2431,89.538,2.9498,0.0000,0.016,1
2500,asocial,2270,0.7569,147.038,0.0000,0.0000,0.000,0
3000,cultural,688,0.2297,91.058,3.3917,0.0000,0.029,1
3000,asocial,2307,0.7703,119.622,0.0000,0.0000,0.000,0
3500,cultural,495,0.1652,86.794,3.6574,0.0000,0.044,1
3500,asocial,2501,0.8348,86.548,0.0000,0.0000,0.000,0
4000,cultural,296,0.0988,88.808,3.7635,0.0000,0.064,1
4000,asocial,2699,0.9012,66.355,0.0000,0.0000,0.000,0
4500,cultural,234,0.0781,60.249,3.8990,0.0000,0.038,1
4500,asocial,2763,0.9219,51.776,0.0000,0.0000,0.000,0
5000,cultural,155,0.0517,66.671,3.8869,0.0000,0.039,1
5000,asocial,2841,0.9483,47.776,0.0000,0.0000,0.000,0
5500,cultural,89,0.0297,25.025,3.9113,0.0000,0.022,1
5500,asocial,2906,0.9703,43.906,0.0000,0.0000,0.000,0
6000,cultural,44,0.0147,41.128,3.9432,0.0000,0.045,1
6000,asocial,2955,0.9853,42.557,0.0000,0.0000,0.000,0
6500,cultural,25,0.0083,30.314,3.9583,0.0000,0.000,0
6500,asocial,2974,0.9917,38.566,0.0000,0.0000,0.000,0
7000,cultural,16,0.0053,43.893,3.9116,0.0000,0.000,0
7000,asocial,2978,0.9947,42.106,0.0000,0.0000,0.000,0
7500,cultural,15,0.0050,32.601,3.9688,0.0000,0.000,0
7500,asocial,2981,0.9950,42.163,0.0000,0.0000,0.000,0
8000,cultural,12,0.0040,35.461,3.9696,0.0000,0.000,0
8000,asocial,2986,0.9960,43.966,0.0000,0.0000,0.000,0
8500,cultural,9,0.0030,23.953,3.9671,0.0000,0.000,0
8500,asocial,2987,0.9970,42.454,0.0000,0.0000,0.000,0
9000,cultural,8,0.0027,30.964,3.7466,0.0000,0.000,0
9000,asocial,2987,0.9973,40.991,0.0000,0.0000,0.000,0
9500,cultural,9,0.0030,19.878,3.9427,0.0000,0.000,0
9500,asocial,2985,0.9970,40.727,0.0000,0.0000,0.000,0
10000,cultural,4,0.0013,21.470,3.9695,0.0000,0.000,0
10000,asocial,2994,0.9987,41.481,0.0000,0.0000,0.000,0
10500,cultural,2,0.0007,21.808,3.9696,0.0000,0.000,0
10500,asocial,2993,0.9993,45.809,0.0000,0.0000,0.000,0
11000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
11000,asocial,2996,1.0000,47.106,0.0000,0.0000,0.000,0
11500,cultural,2,0.0007,26.913,0.0091,0.0000,0.000,0
11500,asocial,2993,0.9993,48.966,0.0000,0.0000,0.000,0
12000,cultural,2,0.0007,9.449,0.0091,0.0000,0.000,0
12000,asocial,2997,0.9993,48.493,0.0000,0.0000,0.000,0
12500,cultural,3,0.0010,38.678,0.0104,0.0000,0.000,0
12500,asocial,2992,0.9990,46.956,0.0000,0.0000,0.000,0
13000,cultural,3,0.0010,29.139,0.0104,0.0000,0.000,0
13000,asocial,2996,0.9990,49.528,0.0000,0.0000,0.000,0
13500,cultural,3,0.0010,47.150,0.0104,0.0000,0.000,0
13500,asocial,2992,0.9990,47.667,0.0000,0.0000,0.000,0
14000,cultural,6,0.0020,34.795,0.0104,0.0000,0.000,0
14000,asocial,2990,0.9980,47.577,0.0000,0.0000,0.000,0
14500,cultural,9,0.0030,40.188,0.0108,0.0000,0.000,0
14500,asocial,2990,0.9970,47.379,0.0000,0.0000,0.000,0
15000,cultural,9,0.0030,23.341,0.0108,0.0000,0.000,0
15000,asocial,2987,0.9970,45.670,0.0000,0.0000,0.000,0
15500,cultural,2,0.0007,11.134,0.0108,0.0000,0.000,0
15500,asocial,2996,0.9993,49.039,0.0000,0.0000,0.000,0
16000,cultural,1,0.0003,26.482,0.0108,0.0000,0.000,0
16000,asocial,2998,0.9997,48.212,0.0000,0.0000,0.000,0
16500,cultural,1,0.0003,49.533,0.0108,0.0000,0.000,0
16500,asocial,2994,0.9997,48.301,0.0000,0.0000,0.000,0
17000,cultural,2,0.0007,46.949,0.0108,0.0000,0.000,0
17000,asocial,2995,0.9993,47.269,0.0000,0.0000,0.000,0
17500,cultural,3,0.0010,32.610,0.0074,0.0000,0.000,0
17500,asocial,2995,0.9990,46.526,0.0000,0.0000,0.000,0
18000,cultural,4,0.0013,28.004,0.0108,0.0000,0.000,0
18000,asocial,2992,0.9987,47.455,0.0000,0.0000,0.000,0
18500,cultural,5,0.0017,81.708,0.0101,0.0000,0.000,0
18500,asocial,2991,0.9983,51.245,0.0000,0.0000,0.000,0
19000,cultural,9,0.0030,90.817,0.0125,0.0000,0.000,0
19000,asocial,2989,0.9970,49.143,0.0000,0.0000,0.000,0
19500,cultural,5,0.0017,181.521,0.0125,0.0000,0.000,0
19500,asocial,2992,0.9983,50.512,0.0000,0.0000,0.000,0
20000,cultural,5,0.0017,251.732,0.0125,0.0000,0.000,0
20000,asocial,2991,0.9983,48.065,0.0000,0.0000,0.000,0
