tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,235,0.0786,55.337,0.1610,0.4669,0.000,0
500,asocial,2756,0.9214,56.745,0.0000,0.4496,0.000,0
1000,cultural,335,0.1118,65.013,0.4631,0.4661,0.000,0
1000,asocial,2661,0.8882,76.594,0.0000,0.4619,0.000,0
1500,cultural,260,0.0868,98.392,0.5403,0.4665,0.000,0
1500,asocial,2737,0.9132,99.315,0.0000,0.4695,0.000,0
2000,cultural,184,0.0614,135.549,0.5979,0.4595,0.000,0
2000,asocial,2813,0.9386,116.076,0.0000,0.4707,0.000,0
2500,cultural,131,0.0437,179.884,0.6047,0.4569,0.000,0
2500,asocial,2868,0.9563,121.144,0.0000,0.4708,0.000,0
3000,cultural,87,0.0291,167.226,0.6046,0.4492,0.000,0
3000,asocial,2907,0.9709,112.368,0.0000,0.4602,0.000,0
3500,cultural,51,0.0170,182.143,0.6049,0.4431,0.000,0
3500,asocial,2945,0.9830,91.398,0.0000,0.4325,0.000,0
4000,cultural,25,0.0083,274.489,0.6049,0.4483,0.000,0
4000,asocial,2973,0.9917,70.770,0.0000,0.3956,0.000,0
4500,cultural,11,0.0037,259.989,0.6049,0.4462,0.000,0
4500,asocial,2985,0.9963,54.199,0.0000,0.3748,0.000,0
5000,cultural,5,0.0017,78.274,0.6049,0.4000,0.000,0
5000,asocial,2989,0.9983,48.537,0.0000,0.3678,0.000,0
5500,cultural,1,0.0003,5.511,0.6049,0.3119,0.000,0
5500,asocial,2994,0.9997,47.549,0.0000,0.3649,0.000,0
6000,cultural,2,0.0007,44.916,0.0097,0.3325,0.000,0
6000,asocial,2994,0.9993,44.316,0.0000,0.3598,0.000,0
6500,cultural,3,0.0010,27.512,0.0097,0.3365,0.000,0
6500,asocial,2995,0.9990,42.678,0.0000,0.3570,0.000,0
7000,cultural,3,0.0010,31.461,0.0097,0.3223,0.000,0
7000,asocial,2996,0.9990,40.712,0.0000,0.3561,0.000,0
7500,cultural,4,0.0013,42.345,0.0117,0.3605,0.000,0
7500,asocial,2990,0.9987,41.088,0.0000,0.3563,0.000,0
8000,cultural,2,0.0007,114.699,0.0117,0.4097,0.000,0
8000,asocial,2996,0.9993,43.035,0.0000,0.3584,0.000,0
8500,cultural,2,0.0007,164.403,0.0117,0.3871,0.000,0
8500,asocial,2997,0.9993,42.375,0.0000,0.3642,0.000,0
9000,cultural,3,0.0010,162.472,0.0118,0.3857,0.000,0
9000,asocial,2990,0.9990,43.454,0.0000,0.3670,0.000,0
9500,cultural,2,0.0007,251.596,0.0118,0.3801,0.000,0
9500,asocial,2997,0.9993,41.466,0.0000,0.3704,0.000,0
10000,cultural,2,0.0007,34.935,0.0066,0.4047,0.000,0
10000,asocial,2994,0.9993,42.393,0.0000,0.3761,0.000,0
10500,cultural,2,0.0007,9.938,0.0066,0.4047,0.000,0
10500,asocial,2997,0.9993,40.605,0.0000,0.3801,0.000,0
11000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
11000,asocial,2993,1.0000,42.738,0.0000,0.3860,0.000,0
11500,cultural,2,0.0007,33.608,0.0071,0.3993,0.000,0
11500,asocial,2997,0.9993,42.023,0.0000,0.3903,0.000,0
12000,cultural,2,0.0007,8.454,0.0071,0.3993,0.000,0
12000,asocial,2996,0.9993,42.868,0.0000,0.3951,0.000,0
12500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
12500,asocial,2998,1.0000,40.836,0.0000,0.3982,0.000,0
13000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
13000,asocial,2995,1.0000,41.647,0.0000,0.4009,0.000,0
13500,cultural,1,0.0003,26.223,-0.0075,0.4010,0.000,0
13500,asocial,2998,0.9997,42.983,0.0000,0.4029,0.000,0
14000,cultural,1,0.0003,1.402,-0.0075,0.4010,0.000,0
14000,asocial,2996,0.9997,46.193,0.0000,0.4035,0.000,0
14500,cultural,3,0.0010,32.722,0.0068,0.3567,0.000,0
14500,asocial,2997,0.9990,47.966,0.0000,0.4038,0.000,0
15000,cultural,2,0.0007,8.330,0.0068,0.3757,0.000,0
15000,asocial,2993,0.9993,45.808,0.0000,0.4041,0.000,0
15500,cultural,3,0.0010,35.744,0.0068,0.3801,0.000,0
15500,asocial,2993,0.9990,45.683,0.0000,0.4040,0.000,0
16000,cultural,4,0.0013,17.386,0.0068,0.3748,0.000,0
16000,asocial,2992,0.9987,47.257,0.0000,0.4019,0.000,0
16500,cultural,3,0.0010,12.140,0.0068,0.3485,0.000,0
16500,asocial,2993,0.9990,46.973,0.0000,0.3984,0.000,0
17000,cultural,3,0.0010,18.358,0.0068,0.3583,0.000,0
17000,asocial,2996,0.9990,46.935,0.0000,0.3959,0.000,0
17500,cultural,3,0.0010,29.935,0.0073,0.3669,0.000,0
17500,asocial,2993,0.9990,46.011,0.0000,0.3936,0.000,0
18000,cultural,2,0.0007,12.505,0.0073,0.3753,0.000,0
18000,asocial,2995,0.9993,47.594,0.0000,0.3906,0.000,0
18500,cultural,1,0.0003,30.482,0.0082,0.3775,0.000,0
18500,asocial,2995,0.9997,46.945,0.0000,0.3882,0.000,0
19000,cultural,5,0.0017,35.844,0.0116,0.3707,0.000,0
19000,asocial,2990,0.9983,45.551,0.0000,0.3871,0.000,0
19500,cultural,8,0.0027,13.533,0.0155,0.3915,0.000,0
19500,asocial,2987,0.9973,44.645,0.0000,0.3866,0.000,0
20000,cultural,1,0.0003,34.168,0.0197,0.3813,0.000,0
20000,asocial,2995,0.9997,44.407,0.0000,0.3863,0.000,0
