tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,458,0.1531,41.398,0.3955,0.4344,0.000,0
500,asocial,2534,0.8469,53.288,0.0000,0.4302,0.000,0
1000,cultural,291,0.0973,73.471,0.6372,0.4271,0.000,0
1000,asocial,2701,0.9027,86.017,0.0000,0.4128,0.000,0
1500,cultural,156,0.0521,147.587,0.6604,0.4264,0.000,0
1500,asocial,2841,0.9479,121.124,0.0000,0.4098,0.000,0
2000,cultural,115,0.0384,200.714,0.6631,0.4318,0.000,0
2000,asocial,2878,0.9616,149.700,0.0000,0.4134,0.000,0
2500,cultural,103,0.0344,227.303,0.6929,0.4129,0.000,0
2500,asocial,2890,0.9656,181.130,0.0000,0.4166,0.000,0
3000,cultural,54,0.0180,314.269,0.7034,0.4192,0.000,0
3000,asocial,2942,0.9820,199.746,0.0000,0.4336,0.000,0
3500,cultural,26,0.0087,355.053,0.7063,0.4193,0.000,0
3500,asocial,2963,0.9913,212.088,0.0000,0.4056,0.000,0
4000,cultural,13,0.0043,89.197,0.7083,0.4143,0.000,0
4000,asocial,2978,0.9957,222.673,0.0000,0.3938,0.000,0
4500,cultural,5,0.0017,23.152,0.7083,0.3858,0.000,0
4500,asocial,2992,0.9983,197.112,0.0000,0.4233,0.000,0
5000,cultural,4,0.0013,30.989,0.7083,0.4081,0.000,0
5000,asocial,2984,0.9987,149.668,0.0000,0.4512,0.000,0
5500,cultural,5,0.0017,31.214,0.7068,0.4706,0.000,0
5500,asocial,2992,0.9983,105.207,0.0000,0.4491,0.000,0
6000,cultural,5,0.0017,20.006,0.7083,0.4441,0.000,0
6000,asocial,2991,0.9983,90.443,0.0000,0.4430,0.000,0
6500,cultural,6,0.0020,31.272,0.6953,0.4122,0.000,0
6500,asocial,2990,0.9980,78.485,0.0000,0.4385,0.000,0
7000,cultural,4,0.0013,20.167,0.7083,0.4374,0.000,0
7000,asocial,2993,0.9987,64.739,0.0000,0.4370,0.000,0
7500,cultural,5,0.0017,35.692,0.7049,0.4358,0.000,0
7500,asocial,2994,0.9983,43.183,0.0000,0.4358,0.000,0
8000,cultural,5,0.0017,20.078,0.7083,0.4371,0.000,0
8000,asocial,2992,0.9983,41.894,0.0000,0.4374,0.000,0
