lever,seed,ticks_horizon,f_t500,f_t3000,retention_f3000_over_f500,abs_r
baseline,1,20000,0.0494,0.0217,0.439,-0.07824
baseline,2,20000,0.1633,0.0664,0.407,-0.10219
density,1,20000,0.1114,0.0604,0.542,-0.06382
density,2,20000,0.0786,0.0291,0.370,-0.13676
ceiling,1,20000,0.0662,0.0405,0.612,-0.01203
ceiling,2,20000,0.2265,0.0418,0.185,-0.06208
cognition,1,20000,0.0611,0.2297,3.759,-0.11570
cognition,2,3000_timeout,0.3264,0.8055,2.468,timeout
mixing,1,8000,0.1531,0.0180,0.118,-0.29028
mixing,2,8000,0.1235,0.0350,0.283,-0.26451
