# O1 full cognition decomposition (n=10) — which cognition component excludes culture.
# invade-fraction (fraction of 10 seeds where cultural share GROWS while rare): baseline 40%, remove-IQ-cost 50%, remove-invention-gate 50%, DISABLE-PRACTICES 90%, all-combined 90%, cognition-OFF 90%.
# NB: no_cost/no_gate/combined were measured with a THROWAWAY env-var-gated build (not committed); baseline/no_prac/cogoff are reproducible from committed scenarios (o1-invasion-cultural-into-asocial.toml / o1-lever-practices-off.toml / o1-lever-cognition.toml). Metric: cultural share retention f2000/f500.
condition,seed,f500,f2000,retention
baseline,1,0.0494,0.0364,0.7368
baseline,2,0.1633,0.1060,0.6491
baseline,3,0.1404,0.1114,0.7934
baseline,4,0.0344,0.0641,1.8634
baseline,5,0.1660,0.1166,0.7024
baseline,6,0.0957,0.1173,1.2257
baseline,7,0.0224,0.0256,1.1429
baseline,8,0.0672,0.0953,1.4182
baseline,9,0.1125,0.1071,0.9520
baseline,10,0.1715,0.1534,0.8945
no_cost,1,0.0407,0.1515,3.7224
no_cost,2,0.1245,0.1032,0.8289
no_cost,3,0.0440,0.0547,1.2432
no_cost,4,0.0367,0.0313,0.8529
no_cost,5,0.1212,0.1628,1.3432
no_cost,6,0.0451,0.0381,0.8448
no_cost,7,0.2051,0.1068,0.5207
no_cost,8,0.0707,0.0912,1.2900
no_cost,9,0.0902,0.0838,0.9290
no_cost,10,0.0361,0.0947,2.6233
no_prac,1,0.1202,0.1451,1.2072
no_prac,2,0.1123,0.2633,2.3446
no_prac,3,0.0394,0.0403,1.0228
no_prac,4,0.0908,0.1468,1.6167
no_prac,5,0.2734,0.3130,1.1448
no_prac,6,0.0417,0.1398,3.3525
no_prac,7,0.0297,0.0253,0.8519
no_prac,8,0.0244,0.1334,5.4672
no_prac,9,0.0848,0.0985,1.1616
no_prac,10,0.1098,0.1335,1.2158
no_gate,1,0.0494,0.0364,0.7368
no_gate,2,0.1633,0.1060,0.6491
no_gate,3,0.1404,0.1114,0.7934
no_gate,4,0.0344,0.0641,1.8634
no_gate,5,0.1660,0.1154,0.6952
no_gate,6,0.0957,0.1173,1.2257
no_gate,7,0.0224,0.0256,1.1429
no_gate,8,0.0672,0.0953,1.4182
no_gate,9,0.1125,0.1284,1.1413
no_gate,10,0.1715,0.1534,0.8945
combined,1,0.0584,0.0443,0.7586
combined,2,0.0530,0.1832,3.4566
combined,3,0.0354,0.2527,7.1384
combined,4,0.0725,0.1089,1.5021
combined,5,0.0999,0.2032,2.0340
combined,6,0.2467,0.4106,1.6644
combined,7,0.1804,0.1858,1.0299
combined,8,0.0311,0.0833,2.6785
combined,9,0.0737,0.0911,1.2361
combined,10,0.1340,0.2337,1.7440
cogoff,1,0.0611,0.2236,3.6596
cogoff,2,0.3264,0.5192,1.5907
cogoff,3,0.1421,0.5832,4.1042
cogoff,4,0.0785,0.2736,3.4854
cogoff,5,0.0819,0.0679,0.8291
cogoff,6,0.0790,0.1347,1.7051
cogoff,7,0.3087,0.6462,2.0933
cogoff,8,0.1280,0.2500,1.9531
cogoff,9,0.0480,0.0648,1.3500
cogoff,10,0.0588,0.4591,7.8078
