tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,959,0.3200,65.767,0.8275,0.4761,0.000,0
500,asocial,2038,0.6800,66.129,0.0000,0.4356,0.000,0
1000,cultural,745,0.2487,82.715,1.1542,0.4674,0.000,0
1000,asocial,2251,0.7513,89.957,0.0000,0.4091,0.000,0
1500,cultural,557,0.1882,100.321,1.2967,0.4635,0.000,0
1500,asocial,2402,0.8118,104.561,0.0000,0.3805,0.000,0
2000,cultural,421,0.1654,115.366,1.4128,0.4586,0.000,0
2000,asocial,2124,0.8346,131.378,0.0000,0.3677,0.000,0
2500,cultural,285,0.1448,142.549,1.4202,0.4538,0.000,0
2500,asocial,1683,0.8552,175.319,0.0000,0.3602,0.000,0
3000,cultural,189,0.1126,180.742,1.4391,0.4493,0.000,0
3000,asocial,1489,0.8874,195.399,0.0000,0.3587,0.000,0
3500,cultural,143,0.1108,213.597,1.4813,0.4445,0.000,0
3500,asocial,1148,0.8892,229.098,0.0000,0.3509,0.000,0
4000,cultural,116,0.1060,243.863,1.5335,0.4265,0.000,0
4000,asocial,978,0.8940,268.829,0.0000,0.3476,0.000,0
4500,cultural,93,0.0884,285.114,1.5767,0.4100,0.000,0
4500,asocial,959,0.9116,279.545,0.0000,0.3538,0.000,0
5000,cultural,48,0.0571,309.842,1.5247,0.3823,0.000,0
5000,asocial,792,0.9429,296.244,0.0000,0.3568,0.000,0
5500,cultural,25,0.0385,243.546,1.6337,0.3554,0.000,0
5500,asocial,625,0.9615,334.302,0.0000,0.3543,0.000,0
6000,cultural,16,0.0289,244.428,1.6401,0.3508,0.000,0
6000,asocial,538,0.9711,305.695,0.0000,0.3474,0.000,0
6500,cultural,11,0.0263,197.007,1.6463,0.3118,0.000,0
6500,asocial,407,0.9737,291.190,0.0000,0.3490,0.000,0
7000,cultural,9,0.0276,262.276,1.4610,0.2966,0.000,0
7000,asocial,317,0.9724,261.281,0.0000,0.3462,0.000,0
7500,cultural,7,0.0238,245.249,1.4093,0.2983,0.000,0
7500,asocial,287,0.9762,277.064,0.0000,0.3300,0.000,0
8000,cultural,7,0.0266,280.127,1.4093,0.2983,0.000,0
8000,asocial,256,0.9734,296.509,0.0000,0.3260,0.000,0
8500,cultural,7,0.0287,324.760,1.4126,0.2983,0.000,0
8500,asocial,237,0.9713,315.576,0.0000,0.3250,0.000,0
9000,cultural,3,0.0128,166.072,1.0917,0.2903,0.000,0
9000,asocial,231,0.9872,322.149,0.0000,0.3294,0.000,0
9500,cultural,5,0.0198,106.125,0.3482,0.2894,0.000,0
9500,asocial,248,0.9802,296.343,0.0000,0.3289,0.000,0
10000,cultural,5,0.0184,70.410,0.0164,0.2552,0.000,0
10000,asocial,267,0.9816,321.227,0.0000,0.3249,0.000,0
10500,cultural,15,0.0417,46.866,0.0442,0.2863,0.000,0
10500,asocial,345,0.9583,248.292,0.0000,0.3140,0.000,0
11000,cultural,15,0.0392,60.425,0.0484,0.2902,0.000,0
11000,asocial,368,0.9608,178.737,0.0000,0.3077,0.000,0
11500,cultural,11,0.0335,104.199,0.0461,0.3018,0.000,0
11500,asocial,317,0.9665,231.368,0.0000,0.3035,0.000,0
12000,cultural,9,0.0286,156.114,0.0451,0.3009,0.000,0
12000,asocial,306,0.9714,224.251,0.0000,0.3008,0.000,0
12500,cultural,8,0.0225,221.029,0.0439,0.2896,0.000,0
12500,asocial,348,0.9775,208.046,0.0000,0.2981,0.000,0
13000,cultural,8,0.0231,273.699,0.0439,0.2896,0.000,0
13000,asocial,338,0.9769,237.230,0.0000,0.2930,0.000,0
13500,cultural,8,0.0225,321.856,0.0439,0.2896,0.000,0
13500,asocial,348,0.9775,245.728,0.0000,0.2886,0.000,0
14000,cultural,8,0.0168,392.969,0.0439,0.2896,0.000,0
14000,asocial,468,0.9832,214.598,0.0000,0.2770,0.000,0
14500,cultural,10,0.0183,389.442,0.0426,0.2869,0.000,0
14500,asocial,537,0.9817,190.654,0.0000,0.2815,0.000,0
15000,cultural,15,0.0268,246.021,0.0477,0.2701,0.000,0
15000,asocial,544,0.9732,165.216,0.0000,0.2823,0.000,0
15500,cultural,13,0.0250,67.263,0.0719,0.2258,0.000,0
15500,asocial,506,0.9750,180.681,0.0000,0.2860,0.000,0
16000,cultural,19,0.0366,46.793,0.0774,0.2530,0.000,0
16000,asocial,500,0.9634,181.714,0.0000,0.2843,0.000,0
16500,cultural,20,0.0369,46.331,0.0979,0.2540,0.000,0
16500,asocial,522,0.9631,200.473,0.0000,0.2808,0.000,0
17000,cultural,14,0.0249,55.592,0.0995,0.2473,0.000,0
17000,asocial,549,0.9751,205.389,0.0000,0.2834,0.000,0
17500,cultural,26,0.0407,36.413,0.1003,0.2267,0.000,0
17500,asocial,613,0.9593,194.431,0.0000,0.2833,0.000,0
18000,cultural,26,0.0323,63.343,0.1238,0.2160,0.000,0
18000,asocial,779,0.9677,174.748,0.0000,0.2849,0.000,0
18500,cultural,26,0.0257,77.409,0.1277,0.2206,0.000,0
18500,asocial,986,0.9743,155.272,0.0000,0.2852,0.000,0
19000,cultural,25,0.0220,88.588,0.1241,0.1940,0.000,0
19000,asocial,1110,0.9780,143.430,0.0000,0.2845,0.000,0
19500,cultural,30,0.0266,113.638,0.1234,0.1944,0.000,0
19500,asocial,1098,0.9734,140.070,0.0000,0.2831,0.000,0
20000,cultural,29,0.0265,135.276,0.1252,0.1955,0.000,0
20000,asocial,1067,0.9735,155.167,0.0000,0.2802,0.000,0
