condition,seed,f500,f2000,retention,invasion_fitness_abs,invasion_fitness_share,cultural_founder_count_t2000
baseline,1,0.0094,0.0000,0.0000,-0.97296,-0.97346,0
baseline,2,0.0084,0.0004,0.0476,-0.80472,-0.80472,1
baseline,3,0.0067,0.0004,0.0597,-0.74893,-0.65154,1
baseline,4,0.0067,0.0013,0.1940,-0.57565,-0.57598,4
baseline,5,0.0054,0.0000,0.0000,-1.35403,-1.04649,0
baseline,6,0.0073,0.0005,0.0685,-0.77276,-0.65001,1
baseline,7,0.0097,0.0020,0.2062,-0.56717,-0.41223,4
baseline,8,0.0067,0.0007,0.1045,-0.57565,-0.57565,2
baseline,9,0.0064,0.0007,0.1094,-0.73611,-0.73653,2
baseline,10,0.0070,0.0000,0.0000,-1.52226,-1.35118,0
practices_off,1,0.0087,0.0000,0.0000,-1.07974,-1.03031,0
practices_off,2,0.0067,0.0010,0.1493,-0.76753,-0.63932,2
practices_off,3,0.0100,0.0046,0.4600,-0.20906,-0.15628,12
practices_off,4,0.0067,0.0057,0.8507,-0.14946,-0.08266,16
practices_off,5,0.0077,0.0000,0.0000,-0.73760,-0.54366,0
practices_off,6,0.0083,0.0013,0.1566,-0.80472,-0.80464,4
practices_off,7,0.0090,0.0048,0.5333,-0.37602,-0.14363,7
practices_off,8,0.0067,0.0007,0.1045,-0.74893,-0.74877,2
practices_off,9,0.0080,0.0011,0.1375,-0.82830,-0.66322,2
practices_off,10,0.0070,0.0003,0.0429,-1.01484,-1.01451,1
