tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,20,0.0067,47.126,0.7312,0.0000,0.000,0
500,asocial,2978,0.9933,52.536,0.2536,0.0000,0.000,0
1000,cultural,17,0.0057,35.961,1.4466,0.0000,0.000,0
1000,asocial,2979,0.9943,68.646,0.5509,0.0000,0.000,1
1500,cultural,12,0.0042,28.861,1.9795,0.0000,0.083,1
1500,asocial,2858,0.9958,87.701,0.9021,0.0000,0.018,1
2000,cultural,4,0.0016,61.945,2.2835,0.0000,0.250,1
2000,asocial,2547,0.9984,106.282,1.1586,0.0000,0.027,1
2500,cultural,3,0.0014,68.098,2.8178,0.0000,0.333,1
2500,asocial,2219,0.9986,115.110,1.4551,0.0000,0.038,1
