tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,21,0.0070,29.737,0.2386,0.4861,0.000,0
500,asocial,2971,0.9930,49.651,0.1046,0.4437,0.000,0
1000,cultural,12,0.0043,15.201,0.9952,0.4626,0.000,0
1000,asocial,2761,0.9957,69.517,0.2267,0.4319,0.000,0
1500,cultural,1,0.0005,4.682,0.0000,0.4894,0.000,0
1500,asocial,2124,0.9995,102.981,0.2314,0.4096,0.000,0
2000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
2000,asocial,1969,1.0000,127.768,0.1833,0.3833,0.005,1
2500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
2500,asocial,1888,1.0000,134.925,0.1608,0.3590,0.010,1
