tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,20,0.0067,34.697,0.1077,0.4784,0.000,0
500,asocial,2974,0.9933,52.339,0.0019,0.4496,0.000,0
1000,cultural,13,0.0043,23.970,0.1676,0.4692,0.000,0
1000,asocial,2982,0.9957,76.992,0.0041,0.4539,0.000,0
1500,cultural,3,0.0010,34.032,0.1434,0.4517,0.000,0
1500,asocial,2994,0.9990,105.644,0.0540,0.4606,0.000,0
2000,cultural,2,0.0007,25.852,0.1212,0.4425,0.000,0
2000,asocial,2996,0.9993,120.137,0.0956,0.4540,0.000,0
2500,cultural,1,0.0003,21.623,0.3079,0.4586,0.000,0
2500,asocial,2991,0.9997,118.975,0.1522,0.4371,0.000,0
