tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,1615,0.9788,69.564,1.5092,0.4411,0.087,1
500,asocial,35,0.0212,31.626,0.0000,0.4845,0.000,0
1000,cultural,1035,0.9810,138.847,1.7505,0.4326,0.243,1
1000,asocial,20,0.0190,47.727,0.0926,0.4644,0.000,0
1500,cultural,791,0.9925,207.870,2.1145,0.4216,0.335,1
1500,asocial,6,0.0075,146.499,0.0000,0.4381,0.000,0
2000,cultural,619,0.9936,279.140,2.3831,0.4146,0.441,2
2000,asocial,4,0.0064,217.487,0.0000,0.4257,0.000,0
2500,cultural,447,0.9933,336.092,2.5791,0.4009,0.548,2
2500,asocial,3,0.0067,156.494,0.0000,0.4591,0.000,0
3000,cultural,251,0.9960,369.972,2.6993,0.3691,0.661,2
3000,asocial,1,0.0040,249.237,0.0000,0.3638,0.000,0
3500,cultural,125,1.0000,388.972,2.7308,0.3401,0.688,2
3500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
4000,cultural,83,1.0000,441.515,2.7790,0.3145,0.747,1
4000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
4500,cultural,43,1.0000,541.552,2.7874,0.2852,0.837,1
4500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
5000,cultural,28,1.0000,712.126,2.8723,0.2682,0.786,1
5000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
5500,cultural,17,1.0000,824.994,2.8832,0.2641,0.706,1
5500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
6000,cultural,9,1.0000,930.507,2.8904,0.2546,0.778,1
6000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
6500,cultural,3,1.0000,1080.580,2.8903,0.2930,0.667,1
6500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
7000,cultural,2,1.0000,1377.471,2.8927,0.2794,0.500,1
7000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
7500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
7500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
8000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
8000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
8500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
8500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
9000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
9000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
9500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
9500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
10000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
10000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
10500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
10500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
11000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
11000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
11500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
11500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
12000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
12000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
12500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
12500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
13000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
13000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
13500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
13500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
14000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
14000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
14500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
14500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
15000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
15000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
15500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
15500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
16000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
16000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
16500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
16500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
17000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
17000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
17500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
17500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
18000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
18000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
18500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
18500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
19000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
19000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
19500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
19500,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
20000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
20000,asocial,0,0.0000,0.000,0.0000,0.0000,0.000,0
