tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,25,0.0083,31.073,0.0992,0.4573,0.000,0
500,asocial,2974,0.9917,58.230,0.0219,0.4412,0.000,0
1000,cultural,12,0.0040,26.026,0.1336,0.4212,0.000,0
1000,asocial,2981,0.9960,71.044,0.0415,0.4296,0.000,0
1500,cultural,3,0.0010,30.449,0.1795,0.3536,0.000,0
1500,asocial,2981,0.9990,87.074,0.0625,0.4122,0.000,0
2000,cultural,2,0.0007,18.212,0.2806,0.3813,0.000,0
2000,asocial,2990,0.9993,101.356,0.1345,0.3977,0.000,0
2500,cultural,1,0.0004,1.561,0.4158,0.3112,0.000,0
2500,asocial,2447,0.9996,121.570,0.1636,0.3853,0.000,0
