tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,148,0.0494,52.267,0.1203,0.4436,0.000,0
500,asocial,2845,0.9506,59.060,0.0000,0.4406,0.000,0
1000,cultural,114,0.0381,77.833,0.1526,0.4171,0.000,0
1000,asocial,2882,0.9619,77.719,0.0000,0.4309,0.000,0
1500,cultural,142,0.0474,105.578,0.1917,0.3930,0.000,0
1500,asocial,2854,0.9526,107.544,0.0000,0.4196,0.000,0
2000,cultural,109,0.0364,168.728,0.2389,0.3853,0.000,0
2000,asocial,2889,0.9636,125.686,0.0000,0.4253,0.000,0
2500,cultural,79,0.0264,245.811,0.2395,0.3691,0.000,0
2500,asocial,2916,0.9736,127.814,0.0000,0.4286,0.000,0
