tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,28,0.0094,23.003,0.1263,0.4778,0.000,0
500,asocial,2965,0.9906,59.062,0.0048,0.4404,0.000,0
1000,cultural,9,0.0030,22.674,0.1583,0.4820,0.000,0
1000,asocial,2987,0.9970,77.889,0.0053,0.4302,0.000,0
1500,cultural,4,0.0013,7.902,0.1995,0.4845,0.000,0
1500,asocial,2992,0.9987,107.584,0.0088,0.4183,0.000,0
2000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
2000,asocial,2998,1.0000,127.251,0.0087,0.4239,0.000,0
2500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
2500,asocial,2995,1.0000,130.926,0.0063,0.4270,0.000,0
