tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,20,0.0067,49.579,0.2592,0.4797,0.000,0
500,asocial,2971,0.9933,49.488,0.0276,0.4491,0.000,0
1000,cultural,20,0.0067,27.407,0.4474,0.4737,0.000,0
1000,asocial,2976,0.9933,65.094,0.1000,0.4447,0.000,0
1500,cultural,10,0.0039,16.040,0.6723,0.4786,0.000,0
1500,asocial,2545,0.9961,91.311,0.2116,0.4360,0.000,0
2000,cultural,2,0.0010,10.464,0.4781,0.5217,0.000,0
2000,asocial,2034,0.9990,118.506,0.2475,0.4188,0.000,0
2500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
2500,asocial,1620,1.0000,141.384,0.2709,0.4035,0.000,0
