condition,seed,share_r,retention_f2000_f500,cultural_500,cultural_2000,cultural_2500,freq_2500,mean_skill_2000
o1diet_baseline,1,0.00861,1.0551090700344432,261,157,127,0.0902,1.9947
o1diet_baseline,2,-0.11886,0.983050847457627,53,52,33,0.011,0.9407
o1diet_baseline,3,-0.10923,0.8865979381443299,29,24,15,0.0063,1.8316
o1diet_baseline,4,-0.02264,2.1194029850746268,20,36,18,0.0061,0.9434
o1diet_baseline,5,-0.1459,0.7471264367816092,52,39,29,0.0097,0.9442
o1diet_baseline,6,0.18754,2.9375,24,47,32,0.017,0.9393
o1diet_baseline,7,-0.14468,0.5918958031837916,207,84,60,0.0387,1.5444
o1diet_baseline,8,-0.01759,1.0258620689655173,243,163,114,0.0757,1.4427
o1diet_baseline,9,1.8078,5.576086956521739,55,233,171,0.0963,1.2553
o1diet_baseline,10,-0.04822,0.9626168224299066,32,22,14,0.0088,0.5396
o1diet_nicheA,1,-0.18684,1.0760043431053201,276,163,124,0.0436,2.0846
o1diet_nicheA,2,-0.0513,0.8418079096045198,53,33,29,0.0144,0.7293
o1diet_nicheA,3,-0.15256,0.6239316239316239,35,22,19,0.0063,1.2461
o1diet_nicheA,4,0.19103,3.08955223880597,20,62,43,0.0143,1.3072
o1diet_nicheA,5,-0.15468,0.7298850574712644,52,38,28,0.0093,1.0013
o1diet_nicheA,6,0.03845,1.2999999999999998,24,31,28,0.0093,0.7921
o1diet_nicheA,7,-0.31517,0.4077809798270893,208,85,59,0.0197,1.4922
o1diet_nicheA,8,-0.07594,0.9440832249674903,230,181,121,0.0568,1.7368
o1diet_nicheA,9,1.84299,6.0,55,230,174,0.1023,1.1959
o1diet_nicheA,10,-0.09298,0.8878504672897196,32,20,12,0.0074,0.5766
o1diet_tierB,1,-0.23311,0.4722222222222222,97,28,19,0.0128,0.9065
o1diet_tierB,2,-0.06082,1.1626016260162602,37,43,29,0.0097,0.4938
o1diet_tierB,3,-0.01025,1.5043988269794721,102,154,98,0.0327,1.4019
o1diet_tierB,4,-0.05256,1.0895522388059702,20,19,13,0.0054,0.5749
o1diet_tierB,5,-0.22949,0.511904761904762,25,13,10,0.0033,0.9336
o1diet_tierB,6,0.05537,1.492537313432836,20,30,25,0.0083,0.6207
o1diet_tierB,7,-0.38731,0.5159235668789809,47,14,10,0.0033,1.8097
o1diet_tierB,8,-0.11333,0.7065217391304348,55,39,35,0.0117,0.6369
o1diet_tierB,9,0.03373,1.2012987012987013,46,44,29,0.0176,0.6077
o1diet_tierB,10,0.07081,1.6333333333333333,27,40,25,0.012,0.7627
founder_baseline,1,-0.1964,0.5595238095238095,25,14,11,0.0038,0.1258
founder_baseline,2,-0.1077,0.7014925373134329,20,14,13,0.0043,0.3088
founder_baseline,3,-0.04046,1.044776119402985,20,21,17,0.0057,0.2236
founder_baseline,4,-0.04063,0.5970149253731343,20,12,17,0.0057,0.5224
founder_baseline,5,-0.07701,0.7014925373134329,20,14,14,0.0049,1.5186
founder_baseline,6,-0.04088,1.0,20,20,17,0.0057,0.2719
founder_baseline,7,-0.06798,1.0,21,21,16,0.0053,0.3877
founder_baseline,8,-0.10145,0.75,24,18,16,0.0053,0.3502
founder_baseline,9,-0.12771,0.8507462686567164,20,17,12,0.004,0.0838
founder_baseline,10,-0.06487,0.9054054054054054,22,20,17,0.0057,0.2986
founder_nicheA_open,1,-0.22865,0.6024096385542169,25,15,10,0.0033,0.5541
founder_nicheA_open,2,-0.04055,0.7910447761194029,20,16,17,0.0057,0.1455
founder_nicheA_open,3,-0.02634,1.2388059701492538,20,25,18,0.006,0.2799
founder_nicheA_open,4,-0.03996,0.7910447761194029,20,16,17,0.0057,0.2969
founder_nicheA_open,5,-0.03517,1.253731343283582,20,25,15,0.0058,0.2474
founder_nicheA_open,6,-0.07167,1.0,20,20,15,0.005,0.1332
founder_nicheA_open,7,-0.26237,0.5522388059701493,20,11,7,0.0023,0.2672
founder_nicheA_open,8,-0.02609,0.9402985074626865,20,19,18,0.006,0.0849
founder_nicheA_open,9,-0.08917,0.8507462686567164,20,17,14,0.0047,0.256
founder_nicheA_open,10,-0.09583,0.7702702702702703,22,17,15,0.005,0.2173
founder_tierB_x2,1,-0.15162,0.7808219178082192,22,17,12,0.004,0.5625
founder_tierB_x2,2,-0.04046,0.9402985074626865,20,19,17,0.0057,0.1871
founder_tierB_x2,3,0.02399,1.1940298507462686,20,24,22,0.0073,0.1363
founder_tierB_x2,4,-0.40203,0.5970149253731343,20,12,4,0.0013,0.1228
founder_tierB_x2,5,-0.00254,1.0,20,20,18,0.0066,0.4175
founder_tierB_x2,6,-0.05579,1.0,20,20,16,0.0053,0.2812
founder_tierB_x2,7,-0.0837,0.7571428571428571,21,16,15,0.005,0.7154
founder_tierB_x2,8,-0.12762,0.6417910447761194,20,13,12,0.004,0.6633
founder_tierB_x2,9,-0.08925,0.8507462686567164,20,17,14,0.0047,0.2026
founder_tierB_x2,10,-0.05025,1.0,22,22,18,0.006,0.5292
founder_practices_off,1,0.07746,1.7808219178082192,22,39,30,0.01,0.6772
founder_practices_off,2,-0.01282,1.0,20,20,19,0.0063,1.5191
founder_practices_off,3,0.0122,1.0,20,20,21,0.007,0.1283
founder_practices_off,4,-0.0403,0.8507462686567164,20,17,17,0.0057,1.1412
founder_practices_off,5,0.0462,1.388059701492537,20,28,23,0.008,0.1606
founder_practices_off,6,0.12544,0.9402985074626865,20,19,33,0.011,0.7829
founder_practices_off,7,0.39769,5.219178082191781,22,114,108,0.036,1.2585
founder_practices_off,8,-0.09064,0.7792207792207793,23,18,16,0.0053,0.1761
founder_practices_off,9,0.14728,1.0,20,20,36,0.012,0.3795
founder_practices_off,10,-0.0005,0.7162162162162162,22,16,22,0.0073,0.2839
founder_reprobias_v1,1,-0.25128,0.511904761904762,25,13,9,0.0031,0.3356
founder_reprobias_v1,2,-0.08925,0.8507462686567164,20,17,14,0.0047,0.279
founder_reprobias_v1,3,-0.01266,1.0895522388059702,20,22,19,0.0063,0.2214
founder_reprobias_v1,4,0.01203,0.44776119402985076,20,9,21,0.007,0.4615
founder_reprobias_v1,5,-0.05629,0.7910447761194029,20,16,16,0.0053,2.0065
founder_reprobias_v1,6,0.00042,1.0,20,20,20,0.0067,0.6751
founder_reprobias_v1,7,-0.13999,0.6714285714285715,21,14,12,0.004,0.3497
founder_reprobias_v1,8,-0.10153,0.75,24,18,16,0.0053,0.2386
founder_reprobias_v1,9,-0.04046,1.0895522388059702,20,22,17,0.0057,0.2097
founder_reprobias_v1,10,-0.11333,0.8513513513513513,22,19,14,0.0047,0.1977
founder_reprobias_v11,1,-0.22924,0.511904761904762,25,13,10,0.0033,0.4718
founder_reprobias_v11,2,-0.05595,0.7910447761194029,20,16,16,0.0053,0.2778
founder_reprobias_v11,3,-0.01266,1.0895522388059702,20,22,19,0.0063,0.2214
founder_reprobias_v11,4,-0.47411,0.29850746268656714,20,6,3,0.001,0.5409
founder_reprobias_v11,5,0.03299,1.0,20,20,19,0.0076,2.7199
founder_reprobias_v11,6,-0.07184,0.8955223880597015,20,18,15,0.005,0.3725
founder_reprobias_v11,7,-0.18523,0.5714285714285714,21,12,10,0.0033,1.5355
