[o3diag] t=500 comm=588 comm_ape=299 hold=[334, 125] births_ok=645 births_failed=6
[o3diag] t=1000 comm=559 comm_ape=253 hold=[414, 310] births_ok=540 births_failed=52
[o3diag] t=1500 comm=376 comm_ape=172 hold=[321, 290] births_ok=332 births_failed=56
[o3diag] t=2000 comm=247 comm_ape=114 hold=[235, 194] births_ok=212 births_failed=45
[o3diag] t=2500 comm=277 comm_ape=107 hold=[236, 171] births_ok=262 births_failed=51
[o3diag] t=3000 comm=238 comm_ape=94 hold=[227, 191] births_ok=235 births_failed=65
[o3diag] t=3500 comm=185 comm_ape=68 hold=[176, 158] births_ok=186 births_failed=64
[o3diag] t=4000 comm=133 comm_ape=57 hold=[127, 124] births_ok=123 births_failed=52
[o3diag] t=4500 comm=114 comm_ape=49 hold=[104, 103] births_ok=108 births_failed=49
[o3diag] t=5000 comm=67 comm_ape=35 hold=[65, 65] births_ok=53 births_failed=33
[o3diag] t=5500 comm=37 comm_ape=22 hold=[35, 35] births_ok=28 births_failed=16
[o3diag] t=6000 comm=17 comm_ape=11 hold=[17, 17] births_ok=14 births_failed=12
[o3diag] t=6500 comm=9 comm_ape=7 hold=[9, 9] births_ok=6 births_failed=2
[o3diag] t=7000 comm=2 comm_ape=1 hold=[2, 2] births_ok=1 births_failed=1
[o3diag] t=7500 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=8000 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=8500 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=9000 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=9500 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=10000 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=10500 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=11000 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=11500 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=12000 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=12500 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=13000 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=13500 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=14000 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=14500 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=15000 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=15500 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=16000 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=16500 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=17000 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=17500 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=18000 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=18500 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=19000 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=19500 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
[o3diag] t=20000 comm=0 comm_ape=0 hold=[0, 0] births_ok=0 births_failed=0
invasion_fitness mutant=cultural r=-0.54787 EXCLUDED
invasion_fitness_share mutant=cultural r=-0.26442 EXCLUDED
ledger written: runs/o3-ape/diet-2.csv
