tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,732,0.2444,47.799,0.6932,0.4741,0.000,0
500,asocial,2263,0.7556,67.827,0.0000,0.4392,0.000,0
1000,cultural,669,0.2231,59.734,1.4836,0.4620,0.000,0
1000,asocial,2329,0.7769,89.952,0.0000,0.4252,0.000,0
1500,cultural,652,0.2404,74.201,1.6865,0.4351,0.000,0
1500,asocial,2060,0.7596,121.746,0.0000,0.4125,0.000,0
2000,cultural,477,0.1978,103.509,1.8983,0.4280,0.000,0
2000,asocial,1935,0.8022,150.189,0.0000,0.4007,0.000,0
2500,cultural,690,0.2547,84.532,2.0422,0.3496,0.000,0
2500,asocial,2019,0.7453,162.729,0.0000,0.3821,0.000,0
3000,cultural,486,0.2159,115.463,2.1114,0.3584,0.000,0
3000,asocial,1765,0.7841,175.536,0.0000,0.3687,0.000,0
3500,cultural,350,0.1853,160.582,2.2113,0.3610,0.000,0
3500,asocial,1539,0.8147,188.765,0.0000,0.3601,0.000,0
4000,cultural,263,0.1638,200.098,2.2430,0.3590,0.000,0
4000,asocial,1343,0.8362,200.979,0.0000,0.3522,0.000,0
4500,cultural,201,0.1489,239.621,2.2611,0.3686,0.000,0
4500,asocial,1149,0.8511,224.337,0.0000,0.3473,0.000,0
5000,cultural,115,0.0927,298.332,2.2837,0.3615,0.000,0
5000,asocial,1126,0.9073,198.315,0.0000,0.3416,0.000,0
5500,cultural,55,0.0522,333.027,2.1806,0.3569,0.000,0
5500,asocial,998,0.9478,185.606,0.0000,0.3342,0.000,0
6000,cultural,28,0.0318,422.819,2.2604,0.3750,0.000,0
6000,asocial,852,0.9682,187.496,0.0000,0.3266,0.000,0
6500,cultural,20,0.0268,450.176,2.3418,0.3708,0.000,0
6500,asocial,726,0.9732,168.559,0.0000,0.3254,0.000,0
7000,cultural,18,0.0274,358.319,2.0823,0.3592,0.000,0
7000,asocial,638,0.9726,183.341,0.0000,0.3193,0.000,0
7500,cultural,12,0.0236,436.671,1.9522,0.3528,0.000,0
7500,asocial,497,0.9764,216.043,0.0000,0.3167,0.000,0
8000,cultural,7,0.0161,384.958,1.6735,0.3996,0.000,0
8000,asocial,427,0.9839,231.898,0.0000,0.3139,0.000,0
8500,cultural,4,0.0112,520.027,1.1719,0.3740,0.000,0
8500,asocial,353,0.9888,246.349,0.0000,0.3154,0.000,0
9000,cultural,2,0.0069,1203.142,0.0073,0.2961,0.000,0
9000,asocial,289,0.9931,279.243,0.0000,0.3118,0.000,0
9500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
9500,asocial,228,1.0000,299.516,0.0000,0.3108,0.000,0
10000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
10000,asocial,178,1.0000,296.094,0.0000,0.3112,0.000,0
10500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
10500,asocial,161,1.0000,344.102,0.0000,0.3036,0.000,0
11000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
11000,asocial,133,1.0000,399.496,0.0000,0.3051,0.000,0
11500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
11500,asocial,118,1.0000,418.964,0.0000,0.3070,0.000,0
12000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
12000,asocial,114,1.0000,441.699,0.0000,0.3107,0.000,0
12500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
12500,asocial,106,1.0000,403.483,0.0000,0.3285,0.000,0
13000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
13000,asocial,123,1.0000,285.617,0.0000,0.3410,0.000,0
13500,cultural,11,0.0621,49.161,0.0874,0.3408,0.000,0
13500,asocial,166,0.9379,165.257,0.0000,0.3511,0.000,0
14000,cultural,18,0.0793,43.143,0.1022,0.3662,0.000,0
14000,asocial,209,0.9207,163.960,0.0000,0.3508,0.000,0
14500,cultural,30,0.0917,63.601,0.1527,0.3721,0.000,0
14500,asocial,297,0.9083,139.163,0.0000,0.3433,0.000,0
15000,cultural,34,0.0863,106.432,0.1559,0.3788,0.000,0
15000,asocial,360,0.9137,165.511,0.0000,0.3350,0.000,0
15500,cultural,125,0.1562,61.220,0.3200,0.3753,0.000,0
15500,asocial,675,0.8438,113.561,0.0000,0.3510,0.000,0
16000,cultural,972,0.3243,39.198,1.0198,0.4755,0.000,0
16000,asocial,2025,0.6757,66.482,0.0000,0.4430,0.000,0
16500,cultural,1131,0.3778,43.711,2.7489,0.4777,0.000,0
16500,asocial,1863,0.6222,80.122,0.0000,0.4472,0.000,0
17000,cultural,1065,0.3558,51.010,3.9788,0.4819,0.000,0
17000,asocial,1928,0.6442,81.387,0.0000,0.4489,0.000,0
17500,cultural,1038,0.3460,54.702,5.1464,0.4861,0.000,0
17500,asocial,1962,0.6540,82.208,0.0000,0.4550,0.000,0
18000,cultural,1030,0.3437,58.368,6.6479,0.4895,0.000,0
18000,asocial,1967,0.6563,85.171,0.0000,0.4522,0.000,0
18500,cultural,967,0.3230,61.814,7.8530,0.4864,0.000,0
18500,asocial,2027,0.6770,78.979,0.0000,0.4525,0.000,0
19000,cultural,1340,0.4474,47.713,9.7232,0.4705,0.000,0
19000,asocial,1655,0.5526,78.825,0.0000,0.4516,0.000,0
19500,cultural,1538,0.5132,32.967,11.6650,0.4665,0.000,0
19500,asocial,1459,0.4868,74.366,0.0000,0.4521,0.000,0
20000,cultural,1763,0.5886,25.824,12.8555,0.4695,0.000,0
20000,asocial,1232,0.4114,91.535,0.0000,0.4426,0.000,0
