tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,765,0.2555,42.886,0.9890,0.4648,0.000,0
500,asocial,2229,0.7445,58.117,0.0000,0.4409,0.000,0
1000,cultural,581,0.2101,59.878,1.3840,0.4572,0.000,0
1000,asocial,2184,0.7899,83.182,0.0000,0.4250,0.000,0
1500,cultural,419,0.1766,89.956,1.4966,0.4506,0.000,0
1500,asocial,1954,0.8234,121.302,0.0000,0.4166,0.000,0
2000,cultural,304,0.1401,128.715,1.5782,0.4444,0.000,0
2000,asocial,1866,0.8599,155.634,0.0000,0.3984,0.000,0
2500,cultural,247,0.1180,170.839,1.6688,0.4300,0.000,0
2500,asocial,1846,0.8820,180.887,0.0000,0.3941,0.000,0
3000,cultural,217,0.1042,192.805,1.7139,0.4201,0.000,0
3000,asocial,1865,0.8958,176.207,0.0000,0.3828,0.000,0
3500,cultural,204,0.1028,203.293,1.7944,0.4076,0.005,1
3500,asocial,1781,0.8972,168.913,0.0000,0.3649,0.000,0
4000,cultural,173,0.0918,238.198,1.8520,0.4021,0.006,1
4000,asocial,1712,0.9082,163.142,0.0000,0.3540,0.000,0
4500,cultural,149,0.0884,269.912,1.8530,0.3960,0.000,0
4500,asocial,1537,0.9116,167.403,0.0000,0.3438,0.000,0
5000,cultural,94,0.0640,313.897,1.8673,0.3869,0.011,1
5000,asocial,1374,0.9360,161.056,0.0000,0.3356,0.000,0
5500,cultural,36,0.0310,213.827,1.8713,0.3736,0.000,0
5500,asocial,1124,0.9690,156.816,0.0000,0.3259,0.000,0
6000,cultural,43,0.0437,111.094,1.8343,0.3310,0.000,0
6000,asocial,940,0.9563,147.963,0.0000,0.3160,0.000,0
6500,cultural,45,0.0587,52.219,1.8835,0.3036,0.000,0
6500,asocial,721,0.9413,138.098,0.0000,0.3080,0.000,0
7000,cultural,51,0.0850,73.284,1.8380,0.2781,0.000,0
7000,asocial,549,0.9150,144.521,0.0000,0.2930,0.000,0
7500,cultural,54,0.1100,95.354,1.8644,0.2670,0.000,0
7500,asocial,437,0.8900,157.248,0.0000,0.2795,0.000,0
8000,cultural,64,0.1550,96.365,1.8201,0.2601,0.000,0
8000,asocial,349,0.8450,162.617,0.0000,0.2708,0.000,0
8500,cultural,80,0.2025,107.303,1.8321,0.2614,0.000,0
8500,asocial,315,0.7975,156.617,0.0000,0.2664,0.000,0
9000,cultural,112,0.2679,111.813,1.8683,0.2621,0.000,0
9000,asocial,306,0.7321,175.326,0.0000,0.2660,0.000,0
9500,cultural,113,0.2783,138.481,1.7963,0.2580,0.000,0
9500,asocial,293,0.7217,195.304,0.0000,0.2607,0.000,0
10000,cultural,130,0.3316,141.609,1.8721,0.2512,0.000,0
10000,asocial,262,0.6684,185.867,0.0000,0.2536,0.000,0
10500,cultural,133,0.3236,161.775,1.8626,0.2497,0.000,0
10500,asocial,278,0.6764,177.656,0.0000,0.2515,0.000,0
11000,cultural,180,0.3750,162.116,1.8363,0.2520,0.000,0
11000,asocial,300,0.6250,174.096,0.0000,0.2452,0.000,0
11500,cultural,233,0.3976,153.299,1.8181,0.2546,0.000,0
11500,asocial,353,0.6024,158.278,0.0000,0.2442,0.000,0
12000,cultural,312,0.4303,140.266,1.8385,0.2585,0.000,0
12000,asocial,413,0.5697,156.659,0.0000,0.2415,0.000,0
12500,cultural,426,0.4239,114.494,1.8256,0.2487,0.000,0
12500,asocial,579,0.5761,138.111,0.0000,0.2384,0.000,0
13000,cultural,512,0.3829,97.431,1.8328,0.2422,0.000,0
13000,asocial,825,0.6171,104.919,0.0000,0.2378,0.000,0
13500,cultural,582,0.3479,77.836,1.7821,0.2411,0.000,0
13500,asocial,1091,0.6521,75.016,0.0000,0.2364,0.000,0
14000,cultural,587,0.3315,65.285,1.7866,0.2376,0.000,0
14000,asocial,1184,0.6685,61.737,0.0000,0.2327,0.000,0
14500,cultural,608,0.3337,55.357,1.8400,0.2340,0.000,0
14500,asocial,1214,0.6663,55.099,0.0000,0.2289,0.000,0
15000,cultural,575,0.3165,47.923,1.8131,0.2324,0.000,0
15000,asocial,1242,0.6835,50.769,0.0000,0.2275,0.000,0
15500,cultural,525,0.3083,47.785,1.7991,0.2290,0.000,0
15500,asocial,1178,0.6917,50.631,0.0000,0.2270,0.000,0
16000,cultural,499,0.3035,49.481,1.8310,0.2268,0.000,0
16000,asocial,1145,0.6965,50.360,0.0000,0.2256,0.000,0
16500,cultural,461,0.2813,47.831,1.8769,0.2259,0.000,0
16500,asocial,1178,0.7187,47.788,0.0000,0.2277,0.000,0
17000,cultural,431,0.2716,48.896,1.9447,0.2244,0.000,0
17000,asocial,1156,0.7284,47.766,0.0000,0.2278,0.000,0
17500,cultural,394,0.2524,54.571,1.9990,0.2214,0.000,0
17500,asocial,1167,0.7476,49.312,0.0000,0.2301,0.000,0
18000,cultural,380,0.2489,58.759,2.0346,0.2214,0.000,0
18000,asocial,1147,0.7511,52.603,0.0000,0.2312,0.000,0
18500,cultural,373,0.2305,57.400,2.0954,0.2201,0.000,0
18500,asocial,1245,0.7695,51.812,0.0000,0.2274,0.000,0
19000,cultural,341,0.2059,57.282,2.1453,0.2218,0.000,0
19000,asocial,1315,0.7941,50.129,0.0000,0.2272,0.000,0
19500,cultural,288,0.1749,57.375,2.1284,0.2237,0.000,0
19500,asocial,1359,0.8251,49.748,0.0000,0.2285,0.000,0
20000,cultural,251,0.1477,57.054,2.2019,0.2206,0.000,0
20000,asocial,1448,0.8523,46.350,0.0000,0.2284,0.000,0
