tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
2000,cultural,371,0.1943,140.413,2.3905,0.4264,0.003,1
2000,asocial,1538,0.8057,138.903,0.0000,0.4009,0.000,0
4000,cultural,1718,0.5736,66.330,4.5454,0.4545,0.033,1
4000,asocial,1277,0.4264,173.139,0.0000,0.3745,0.000,0
6000,cultural,1604,0.5377,165.699,11.5121,0.4263,0.006,1
6000,asocial,1379,0.4623,208.475,0.0000,0.3969,0.000,0
8000,cultural,1893,0.6318,195.089,14.2338,0.4294,0.003,1
8000,asocial,1103,0.3682,182.989,0.0000,0.4185,0.000,0
10000,cultural,2341,0.7814,46.933,17.3238,0.4256,0.000,0
10000,asocial,655,0.2186,111.342,0.0000,0.4636,0.000,0
12000,cultural,2778,0.9266,48.979,20.1998,0.4303,0.000,0
12000,asocial,220,0.0734,86.058,0.0000,0.4899,0.000,0
