tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
2000,cultural,584,0.2711,72.551,2.2167,0.4697,0.296,1
2000,asocial,1570,0.7289,144.815,0.0000,0.3692,0.000,0
4000,cultural,224,0.1946,180.479,2.3769,0.4409,0.451,1
4000,asocial,927,0.8054,208.191,0.0000,0.3424,0.000,0
6000,cultural,30,0.0602,219.258,2.3741,0.3470,0.333,1
6000,asocial,468,0.9398,284.900,0.0000,0.3433,0.000,0
8000,cultural,5,0.0191,304.634,2.3684,0.3016,0.000,0
8000,asocial,257,0.9809,357.881,0.0000,0.3407,0.000,0
10000,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
10000,asocial,209,1.0000,212.046,0.0000,0.3123,0.000,0
12000,cultural,3,0.0051,72.811,-0.0108,0.3260,0.000,0
12000,asocial,590,0.9949,109.612,0.0000,0.3040,0.000,0
