tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,207,0.0691,30.117,0.9185,0.4854,0.000,0
500,asocial,2789,0.9309,56.318,0.1253,0.4612,0.000,0
1000,cultural,181,0.0605,43.308,1.4552,0.4738,0.000,0
1000,asocial,2813,0.9395,77.226,0.2260,0.4505,0.000,0
1500,cultural,135,0.0520,53.577,1.5330,0.4724,0.000,0
1500,asocial,2463,0.9480,99.606,0.1956,0.4403,0.000,0
2000,cultural,84,0.0409,76.591,1.5444,0.4641,0.000,0
2000,asocial,1972,0.9591,132.824,0.1787,0.4290,0.000,0
2500,cultural,60,0.0387,84.589,1.5444,0.4524,0.000,0
2500,asocial,1489,0.9613,176.640,0.1672,0.4176,0.000,0
