tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,55,0.0184,38.190,0.0695,0.4716,0.000,0
500,asocial,2941,0.9816,35.925,0.0000,0.4853,0.000,0
1000,cultural,117,0.0390,36.692,0.0917,0.4799,0.000,0
1000,asocial,2883,0.9610,44.334,0.0000,0.4772,0.000,0
1500,cultural,146,0.0487,51.557,0.2040,0.4766,0.000,0
1500,asocial,2850,0.9513,55.833,0.0000,0.4723,0.000,0
2000,cultural,152,0.0508,55.465,0.2940,0.4732,0.000,0
2000,asocial,2843,0.9492,70.221,0.0000,0.4674,0.000,0
2500,cultural,180,0.0601,55.938,0.3686,0.4883,0.000,0
2500,asocial,2817,0.9399,82.307,0.0000,0.4521,0.000,0
