tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,339,0.1133,34.240,0.2435,0.4813,0.000,0
500,asocial,2653,0.8867,30.029,0.0000,0.4804,0.000,0
1000,cultural,893,0.2980,37.106,1.0336,0.4842,0.000,0
1000,asocial,2104,0.7020,38.238,0.0000,0.4756,0.000,0
1500,cultural,964,0.3217,50.595,1.4358,0.4769,0.000,0
1500,asocial,2033,0.6783,47.206,0.0000,0.4693,0.000,0
2000,cultural,1080,0.3605,66.293,1.8817,0.5037,0.001,1
2000,asocial,1916,0.6395,62.859,0.0000,0.4743,0.000,0
2500,cultural,1428,0.4763,76.195,3.9587,0.5640,0.005,1
2500,asocial,1570,0.5237,68.739,0.0000,0.4887,0.000,0
