tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,123,0.0410,48.106,0.1135,0.4659,0.000,0
500,asocial,2876,0.9590,34.388,0.0000,0.4844,0.000,0
1000,cultural,166,0.0554,67.015,0.3043,0.4619,0.000,0
1000,asocial,2830,0.9446,43.767,0.0000,0.4813,0.000,0
1500,cultural,171,0.0570,78.964,0.3461,0.4626,0.000,0
1500,asocial,2829,0.9430,54.271,0.0000,0.4752,0.000,0
2000,cultural,174,0.0581,84.156,0.3666,0.4537,0.000,0
2000,asocial,2820,0.9419,66.101,0.0000,0.4622,0.000,0
2500,cultural,166,0.0554,90.036,0.4616,0.4293,0.000,0
2500,asocial,2832,0.9446,73.603,0.0000,0.4538,0.000,0
