tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,55,0.0184,59.550,0.2842,0.4942,0.000,0
500,asocial,2939,0.9816,50.480,0.0101,0.4515,0.000,0
1000,cultural,347,0.1160,32.898,1.0109,0.4800,0.000,0
1000,asocial,2644,0.8840,79.627,0.0679,0.4325,0.000,0
1500,cultural,292,0.1190,51.025,1.1370,0.4814,0.000,0
1500,asocial,2161,0.8810,106.701,0.1404,0.4145,0.000,0
2000,cultural,230,0.1104,60.760,1.1959,0.4803,0.000,0
2000,asocial,1854,0.8896,131.462,0.1240,0.4001,0.000,0
2500,cultural,174,0.1023,72.552,1.2351,0.4846,0.000,0
2500,asocial,1527,0.8977,155.256,0.1184,0.3834,0.000,0
