tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,20,0.0067,61.306,0.0890,0.4918,0.000,0
500,asocial,2979,0.9933,35.985,0.0020,0.4880,0.000,0
1000,cultural,20,0.0067,51.442,0.1298,0.4918,0.000,0
1000,asocial,2972,0.9933,43.759,0.0031,0.4783,0.000,0
1500,cultural,19,0.0063,45.692,0.1377,0.4973,0.000,0
1500,asocial,2979,0.9937,54.593,0.0031,0.4726,0.000,0
2000,cultural,16,0.0053,34.587,0.1455,0.5051,0.000,0
2000,asocial,2980,0.9947,65.832,0.0023,0.4676,0.000,0
2500,cultural,17,0.0057,34.762,0.1370,0.4998,0.000,0
2500,asocial,2981,0.9943,73.085,0.0020,0.4542,0.000,0
