tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,844,0.2821,39.830,1.0549,0.4659,0.000,0
500,asocial,2148,0.7179,58.173,0.0000,0.4487,0.000,0
1000,cultural,716,0.2387,52.419,1.3081,0.4576,0.000,0
1000,asocial,2283,0.7613,75.987,0.0000,0.4371,0.000,0
1500,cultural,595,0.1987,76.888,1.5190,0.4469,0.000,0
1500,asocial,2400,0.8013,103.631,0.0000,0.4382,0.000,0
2000,cultural,480,0.1600,106.832,1.6123,0.4412,0.000,0
2000,asocial,2520,0.8400,129.416,0.0000,0.4563,0.000,0
2500,cultural,385,0.1285,140.552,1.6523,0.4331,0.000,0
2500,asocial,2612,0.8715,133.187,0.0000,0.4626,0.000,0
3000,cultural,341,0.1138,151.555,1.7101,0.4234,0.000,0
3000,asocial,2655,0.8862,129.778,0.0000,0.4714,0.000,0
3500,cultural,321,0.1071,151.174,1.7457,0.4048,0.000,0
3500,asocial,2677,0.8929,122.544,0.0000,0.4817,0.000,0
4000,cultural,290,0.0969,161.857,1.7866,0.3999,0.000,0
4000,asocial,2703,0.9031,123.732,0.0000,0.4974,0.000,0
4500,cultural,224,0.0749,197.807,1.7996,0.3934,0.000,0
4500,asocial,2767,0.9251,111.075,0.0000,0.5163,0.000,0
5000,cultural,152,0.0513,215.484,1.8204,0.3687,0.007,1
5000,asocial,2810,0.9487,101.963,0.0000,0.5383,0.000,0
5500,cultural,99,0.0331,218.983,1.8273,0.3491,0.000,0
5500,asocial,2894,0.9669,102.976,0.0000,0.5500,0.000,0
6000,cultural,75,0.0250,198.735,1.8253,0.3714,0.000,0
6000,asocial,2922,0.9750,90.921,0.0000,0.5594,0.000,0
6500,cultural,51,0.0170,219.097,1.8180,0.3577,0.000,0
6500,asocial,2944,0.9830,89.272,0.0000,0.5683,0.000,0
7000,cultural,29,0.0097,281.546,1.8463,0.3347,0.000,0
7000,asocial,2961,0.9903,81.062,0.0000,0.5766,0.000,0
7500,cultural,21,0.0070,166.883,1.8491,0.3571,0.000,0
7500,asocial,2975,0.9930,73.439,0.0000,0.5816,0.000,0
8000,cultural,15,0.0050,188.107,1.8502,0.3865,0.000,0
8000,asocial,2981,0.9950,59.989,0.0000,0.5861,0.000,0
8500,cultural,8,0.0027,324.065,1.8509,0.4047,0.000,0
8500,asocial,2991,0.9973,55.426,0.0000,0.5897,0.000,0
9000,cultural,9,0.0030,223.650,1.8585,0.4680,0.000,0
9000,asocial,2989,0.9970,56.783,0.0000,0.5897,0.000,0
9500,cultural,4,0.0013,18.532,1.8679,0.5290,0.000,0
9500,asocial,2991,0.9987,52.519,0.0000,0.5960,0.000,0
10000,cultural,6,0.0020,22.640,1.8679,0.5357,0.000,0
10000,asocial,2991,0.9980,47.519,0.0000,0.5999,0.000,0
10500,cultural,6,0.0020,35.859,1.6041,0.4580,0.000,0
10500,asocial,2989,0.9980,43.860,0.0000,0.6039,0.000,0
11000,cultural,2,0.0007,54.635,1.8679,0.5156,0.000,0
11000,asocial,2997,0.9993,43.600,0.0000,0.6056,0.000,0
11500,cultural,2,0.0007,60.695,1.8679,0.5320,0.000,0
11500,asocial,2994,0.9993,41.350,0.0000,0.6081,0.000,0
12000,cultural,4,0.0013,43.267,1.8679,0.5327,0.000,0
12000,asocial,2988,0.9987,42.000,0.0000,0.6153,0.000,0
12500,cultural,2,0.0007,6.283,1.8679,0.5335,0.000,0
12500,asocial,2993,0.9993,43.336,0.0000,0.6195,0.000,0
13000,cultural,1,0.0003,53.086,0.0087,0.5729,0.000,0
13000,asocial,2994,0.9997,45.160,0.0000,0.6220,0.000,0
13500,cultural,3,0.0010,28.455,0.0087,0.6286,0.000,0
13500,asocial,2993,0.9990,46.837,0.0000,0.6267,0.000,0
14000,cultural,3,0.0010,14.500,0.0087,0.5760,0.000,0
14000,asocial,2992,0.9990,47.223,0.0000,0.6269,0.000,0
14500,cultural,0,0.0000,0.000,0.0000,0.0000,0.000,0
14500,asocial,2995,1.0000,48.832,0.0000,0.6291,0.000,0
15000,cultural,9,0.0030,42.449,0.0118,0.6472,0.000,0
15000,asocial,2989,0.9970,48.424,0.0000,0.6305,0.000,0
15500,cultural,30,0.0100,35.459,0.0230,0.6488,0.000,0
15500,asocial,2963,0.9900,48.149,0.0000,0.6319,0.000,0
16000,cultural,45,0.0150,28.690,0.0241,0.6507,0.000,0
16000,asocial,2951,0.9850,48.892,0.0000,0.6301,0.000,0
16500,cultural,50,0.0167,27.828,0.0240,0.6443,0.000,0
16500,asocial,2944,0.9833,48.901,0.0000,0.6295,0.000,0
17000,cultural,55,0.0184,31.852,0.0241,0.6398,0.000,0
17000,asocial,2942,0.9816,49.977,0.0000,0.6280,0.000,0
17500,cultural,56,0.0187,37.911,0.0240,0.6428,0.000,0
17500,asocial,2943,0.9813,50.745,0.0000,0.6299,0.000,0
18000,cultural,60,0.0200,35.737,0.0242,0.6442,0.000,0
18000,asocial,2934,0.9800,48.629,0.0000,0.6300,0.000,0
18500,cultural,37,0.0123,45.965,0.0245,0.6415,0.000,0
18500,asocial,2961,0.9877,48.367,0.0000,0.6303,0.000,0
19000,cultural,17,0.0057,82.874,0.0245,0.6410,0.000,0
19000,asocial,2981,0.9943,49.386,0.0000,0.6329,0.000,0
19500,cultural,7,0.0023,214.134,0.0245,0.6395,0.000,0
19500,asocial,2988,0.9977,49.024,0.0000,0.6326,0.000,0
20000,cultural,17,0.0057,64.359,0.0244,0.6233,0.000,0
20000,asocial,2980,0.9943,49.572,0.0000,0.6345,0.000,0
