tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
2000,cultural,1089,0.3630,75.304,3.4151,0.4383,0.000,0
2000,asocial,1911,0.6370,150.521,0.0000,0.4282,0.000,0
4000,cultural,1832,0.6109,44.098,8.1543,0.4686,0.000,0
4000,asocial,1167,0.3891,199.765,0.0000,0.3937,0.000,0
6000,cultural,1579,0.5276,24.796,10.8214,0.4613,0.000,0
6000,asocial,1414,0.4724,142.414,0.0000,0.4544,0.000,0
8000,cultural,1145,0.3824,24.555,13.1066,0.4775,0.000,0
8000,asocial,1849,0.6176,70.138,0.0000,0.4898,0.000,0
10000,cultural,1006,0.3356,22.780,15.2974,0.4863,0.000,0
10000,asocial,1992,0.6644,40.399,0.0000,0.5022,0.000,0
12000,cultural,1212,0.4044,24.139,17.7499,0.4780,0.000,0
12000,asocial,1785,0.5956,44.494,0.0000,0.5045,0.000,0
14000,cultural,1412,0.4711,25.508,20.5248,0.4656,0.000,0
14000,asocial,1585,0.5289,43.691,0.0000,0.5008,0.000,0
