tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,777,0.2593,50.455,0.9630,0.4671,0.000,0
500,asocial,2220,0.7407,59.458,0.0000,0.4533,0.000,0
1000,cultural,790,0.2669,52.910,1.7630,0.4626,0.000,0
1000,asocial,2170,0.7331,81.851,0.0000,0.4271,0.000,0
1500,cultural,649,0.2568,61.745,2.0393,0.4602,0.000,0
1500,asocial,1878,0.7432,114.207,0.0000,0.4060,0.000,0
2000,cultural,509,0.2440,74.235,2.0900,0.4575,0.002,1
2000,asocial,1577,0.7560,159.611,0.0000,0.3852,0.000,0
2500,cultural,382,0.2113,95.498,2.1076,0.4494,0.034,1
2500,asocial,1426,0.7887,195.935,0.0000,0.3676,0.000,0
3000,cultural,505,0.1686,84.252,1.3385,0.4714,0.026,1
3000,asocial,2491,0.8314,133.125,0.0000,0.4208,0.000,0
3500,cultural,416,0.1388,107.137,1.3807,0.4661,0.031,1
3500,asocial,2581,0.8612,138.734,0.0000,0.4333,0.000,0
4000,cultural,323,0.1078,148.769,1.3999,0.4637,0.037,1
4000,asocial,2674,0.8922,158.877,0.0000,0.4452,0.000,0
4500,cultural,252,0.0842,196.196,1.4173,0.4584,0.056,1
4500,asocial,2741,0.9158,176.418,0.0000,0.4557,0.000,0
5000,cultural,173,0.0585,251.271,2.0129,0.4484,0.064,1
5000,asocial,2785,0.9415,181.676,0.0000,0.4821,0.000,0
5500,cultural,97,0.0324,263.940,1.9416,0.4452,0.031,1
5500,asocial,2896,0.9676,165.611,0.0000,0.5035,0.000,0
6000,cultural,41,0.0137,268.674,2.1983,0.4513,0.024,1
6000,asocial,2952,0.9863,137.350,0.0000,0.5182,0.000,0
6500,cultural,22,0.0073,258.962,2.2156,0.4596,0.045,1
6500,asocial,2974,0.9927,113.590,0.0000,0.5273,0.000,0
7000,cultural,12,0.0040,104.519,2.1962,0.4655,0.000,0
7000,asocial,2983,0.9960,95.497,0.0000,0.5330,0.000,0
7500,cultural,11,0.0037,138.507,2.2001,0.4740,0.000,0
7500,asocial,2986,0.9963,75.438,0.0000,0.5342,0.000,0
8000,cultural,7,0.0023,61.521,2.1934,0.4674,0.000,0
8000,asocial,2986,0.9977,61.445,0.0000,0.5312,0.000,0
8500,cultural,13,0.0043,41.169,2.1916,0.4966,0.000,0
8500,asocial,2984,0.9957,49.336,0.0000,0.5255,0.000,0
9000,cultural,10,0.0033,38.509,2.1934,0.5075,0.000,0
9000,asocial,2986,0.9967,38.477,0.0000,0.5156,0.000,0
9500,cultural,11,0.0037,14.656,2.1934,0.5065,0.000,0
9500,asocial,2986,0.9963,34.861,0.0000,0.5128,0.000,0
10000,cultural,8,0.0027,21.885,2.1923,0.5135,0.000,0
10000,asocial,2984,0.9973,32.971,0.0000,0.5065,0.000,0
10500,cultural,22,0.0073,22.153,2.1967,0.5060,0.000,0
10500,asocial,2976,0.9927,32.138,0.0000,0.5030,0.000,0
11000,cultural,22,0.0074,23.146,2.2063,0.5011,0.000,0
11000,asocial,2971,0.9926,31.962,0.0000,0.5032,0.000,0
11500,cultural,17,0.0057,18.954,2.2291,0.4940,0.000,0
11500,asocial,2980,0.9943,31.087,0.0000,0.5009,0.000,0
12000,cultural,13,0.0043,13.559,2.2315,0.5140,0.000,0
12000,asocial,2984,0.9957,30.470,0.0000,0.5012,0.000,0
12500,cultural,11,0.0037,21.326,2.2317,0.5170,0.000,0
12500,asocial,2988,0.9963,32.315,0.0000,0.5024,0.000,0
13000,cultural,5,0.0017,14.227,2.2317,0.5145,0.000,0
13000,asocial,2990,0.9983,30.911,0.0000,0.5027,0.000,0
13500,cultural,4,0.0013,18.669,2.2317,0.5027,0.000,0
13500,asocial,2993,0.9987,31.159,0.0000,0.5018,0.000,0
14000,cultural,5,0.0017,21.050,2.2317,0.5131,0.000,0
14000,asocial,2991,0.9983,32.327,0.0000,0.5003,0.000,0
14500,cultural,4,0.0013,28.329,2.2317,0.5192,0.000,0
14500,asocial,2991,0.9987,32.404,0.0000,0.4992,0.000,0
15000,cultural,2,0.0007,39.638,2.2317,0.4962,0.000,0
15000,asocial,2993,0.9993,33.618,0.0000,0.5000,0.000,0
15500,cultural,4,0.0013,52.740,2.1027,0.3652,0.000,0
15500,asocial,2992,0.9987,34.526,0.0000,0.4977,0.000,0
16000,cultural,2,0.0007,144.551,2.2264,0.3652,0.000,0
16000,asocial,2995,0.9993,37.471,0.0000,0.5017,0.000,0
16500,cultural,4,0.0013,124.382,2.2316,0.4515,0.000,0
16500,asocial,2994,0.9987,38.760,0.0000,0.4997,0.000,0
17000,cultural,4,0.0013,141.338,2.1219,0.4474,0.000,0
17000,asocial,2988,0.9987,41.154,0.0000,0.4970,0.000,0
17500,cultural,3,0.0010,129.830,2.2317,0.4491,0.000,0
17500,asocial,2995,0.9990,40.622,0.0000,0.4986,0.000,0
18000,cultural,1,0.0003,419.004,2.2317,0.2654,0.000,0
18000,asocial,2994,0.9997,42.379,0.0000,0.5002,0.000,0
18500,cultural,2,0.0007,294.581,1.2796,0.4019,0.000,0
18500,asocial,2997,0.9993,45.493,0.0000,0.4985,0.000,0
19000,cultural,5,0.0017,29.479,0.3221,0.5291,0.000,0
19000,asocial,2994,0.9983,46.922,0.0000,0.4977,0.000,0
19500,cultural,4,0.0013,25.805,0.3275,0.5235,0.000,0
19500,asocial,2992,0.9987,47.976,0.0000,0.5001,0.000,0
20000,cultural,3,0.0010,26.162,0.3160,0.5373,0.000,0
20000,asocial,2990,0.9990,48.874,0.0000,0.4985,0.000,0
