tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,20,0.0067,58.364,0.1000,0.4948,0.000,0
500,asocial,2980,0.9933,36.900,0.0084,0.4847,0.000,0
1000,cultural,20,0.0067,57.569,0.5379,0.4948,0.000,0
1000,asocial,2978,0.9933,48.164,0.0443,0.4748,0.000,0
1500,cultural,19,0.0063,49.435,0.7317,0.4962,0.000,0
1500,asocial,2980,0.9937,61.216,0.0619,0.4652,0.000,0
2000,cultural,19,0.0063,40.632,0.7829,0.4962,0.000,0
2000,asocial,2976,0.9937,72.877,0.0978,0.4561,0.000,0
2500,cultural,33,0.0110,31.710,1.1385,0.4706,0.000,0
2500,asocial,2964,0.9890,81.992,0.2739,0.4486,0.000,0
