tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,21,0.0070,52.579,0.0487,0.5055,0.000,0
500,asocial,2976,0.9930,32.008,0.0031,0.4823,0.000,0
1000,cultural,20,0.0067,47.308,0.2086,0.5041,0.000,0
1000,asocial,2980,0.9933,39.993,0.0224,0.4783,0.000,0
1500,cultural,20,0.0067,42.439,0.5272,0.5039,0.000,0
1500,asocial,2979,0.9933,51.047,0.1320,0.4733,0.000,0
2000,cultural,12,0.0040,31.689,1.5355,0.4979,0.000,0
2000,asocial,2985,0.9960,62.457,0.5227,0.4611,0.000,0
2500,cultural,10,0.0033,30.311,1.9189,0.4979,0.000,0
2500,asocial,2984,0.9967,69.355,0.6342,0.4550,0.000,0
