tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,25,0.0084,38.628,0.0751,0.4965,0.000,0
500,asocial,2966,0.9916,30.618,0.0011,0.4796,0.000,0
1000,cultural,21,0.0070,35.072,0.0852,0.4903,0.000,0
1000,asocial,2976,0.9930,38.844,0.0017,0.4739,0.000,0
1500,cultural,18,0.0060,21.660,0.1445,0.4894,0.000,0
1500,asocial,2975,0.9940,46.983,0.0087,0.4716,0.000,0
2000,cultural,13,0.0043,17.323,0.3356,0.4935,0.000,0
2000,asocial,2984,0.9957,53.100,0.0568,0.4652,0.000,0
2500,cultural,9,0.0031,19.978,0.7077,0.4941,0.000,0
2500,asocial,2933,0.9969,64.263,0.0980,0.4549,0.000,0
