tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,97,0.0324,33.281,0.5092,0.4791,0.000,0
500,asocial,2895,0.9676,53.652,0.0811,0.4701,0.000,0
1000,cultural,83,0.0314,35.645,0.9053,0.4897,0.000,0
1000,asocial,2559,0.9686,86.678,0.1298,0.4670,0.000,0
1500,cultural,49,0.0227,46.165,0.9160,0.4852,0.000,0
1500,asocial,2108,0.9773,121.243,0.1193,0.4546,0.000,0
2000,cultural,28,0.0153,60.468,0.9065,0.4764,0.000,0
2000,asocial,1806,0.9847,161.694,0.1057,0.4362,0.000,0
2500,cultural,19,0.0128,52.489,0.8734,0.4823,0.000,0
2500,asocial,1470,0.9872,199.368,0.0977,0.4125,0.000,0
