tick,strategy,count,freq,mean_energy,mean_skill,mean_iq,mean_era,max_era
500,cultural,20,0.0067,67.132,0.0902,0.4878,0.000,0
500,asocial,2975,0.9933,36.214,0.0023,0.4766,0.000,0
1000,cultural,20,0.0067,67.166,0.1524,0.4878,0.000,0
1000,asocial,2979,0.9933,45.502,0.0082,0.4687,0.000,0
1500,cultural,20,0.0067,61.667,0.1787,0.4878,0.000,0
1500,asocial,2978,0.9933,55.509,0.0133,0.4609,0.000,0
2000,cultural,17,0.0057,38.568,0.2026,0.4883,0.000,0
2000,asocial,2977,0.9943,64.878,0.0226,0.4507,0.000,0
2500,cultural,14,0.0047,47.665,0.2959,0.4841,0.000,0
2500,asocial,2982,0.9953,70.362,0.0523,0.4375,0.000,0
